KeyItemId	Info	InfoKey	KeyCode	IsTitle	Language
计数id	备注		ascii码	是否标题	多语言
1	常用设置			1	gui_keysetting_often
2	鼠标锁定开关	~	192	0	gui_keysetting_mousestate
3	ESC	ESC	27	0	gui_keysetting_back
4	聊天框	T	84	0	gui_keysetting_chat
5	个人商店	<	188	0	gui_keysetting_personalshop
6	商店	>	190	0	gui_keysetting_appShop
7	小地图	M	77	0	gui_keysetting_map
8	调整视角	F5	116	0	gui_keysetting_personview
9	聊天发送	enter	13	0	gui_keysetting_chatsend
10	潜行	shift	16	0	gui_keysetting_shift
11	奔跑	ctrl	17	0	gui_keysetting_ctrl
12	跳跃	space	32	0	gui_keysetting_jump
13	移动设置			1	gui_keysetting_move_title
14	向前移动	W	87	0	gui_keysetting_forward
15	向后移动	S	83	0	gui_keysetting_backward
16	向左移动	A	65	0	gui_keysetting_left
17	向右移动	D	68	0	gui_keysetting_right
18	道具栏			1	gui_keysetting_inventory
19	丢弃物品	Q	81	0	gui_keysetting_discard_item
20	打开物品栏	E	69	0	gui_keysetting_open_inventory
21	道具栏1	num1	49	0	gui_keysetting_inventory1
22	道具栏2	num2	50	0	gui_keysetting_inventory2
23	道具栏3	num3	51	0	gui_keysetting_inventory3
24	道具栏4	num4	52	0	gui_keysetting_inventory4
25	道具栏5	num5	53	0	gui_keysetting_inventory5
26	道具栏6	num6	54	0	gui_keysetting_inventory6
27	道具栏7	num7	55	0	gui_keysetting_inventory7
28	道具栏8	num8	56	0	gui_keysetting_inventory8
29	道具栏9	num9	57	0	gui_keysetting_inventory9
30	其它设置			1	gui_keysetting_other
31	跳伞	F	70	0	gui_keysetting_parachute
32	换弹	R	82	0	gui_keysetting_reloadbullet
33	锁定位置	L	76	0	gui_keysetting_change_camera_status
34	变换物品	K	75	0	gui_keysetting_change_actor