Index	Season	Lv	NeedEXP	FreeReward	FreeNum	RewardType	PayReward	PayRewardType	PayNum	StageReward	GrandReward	BuyLevel	FreeShowType	PayShowType	FreeActor	FreeActorSkillName	PayActor	PayActorSkillName	FreeSpecialReward	PaySpecialReward	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24
194	1	194	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
195	1	195	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
196	1	196	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
197	1	197	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
198	1	198	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
199	1	199	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
200	1	200	1000	#	0	1	60102	1	20	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	20.0
201	2	1	1000	60102	10	1	60417	1	1	1	0	20	1	2	#	#	#	#	0	1	号角	10.0	黑暗刀光	1.0
202	2	2	1000	60212	1	1	60217	1	1	0	2	20	1	1	#	#	#	#	0	0	经验翻倍6h	1.0	快速复活24h	1.0
203	2	3	1000	60102	10	1	60306	1	1	0	2	20	1	1	#	#	#	#	0	0	号角	10.0	火剑Ⅰ	1.0
204	2	4	1000	60101	10	1	60101	1	15	0	1	20	1	1	#	#	#	#	0	0	钥匙	10.0	钥匙	15.0
205	2	5	1000	60102	10	1	60102	1	50	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	号角	50.0
206	2	6	1000	60202	1	1	60213	1	1	0	1	20	1	1	#	#	#	#	0	0	生命值强化2h	1.0	道具特权24h	1.0
207	2	7	1000	60102	10	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	号角	10.0
208	2	8	1000	60103	1	1	60103	1	1	0	0	20	1	1	#	#	#	#	0	0	黄金宝箱	1.0	黄金宝箱	1.0
209	2	9	1000	60101	10	1	60101	1	15	0	0	20	1	1	#	#	#	#	0	0	钥匙	10.0	钥匙	15.0
210	2	10	1000	60411	1	1	60361	1	1	1	1	20	1	1	#	#	#	#	1	1	抹杀	1.0	铁墓Ⅲ	1.0
211	2	11	1000	60101	15	1	60101	1	20	0	2	20	1	1	#	#	#	#	0	0	钥匙	15.0	钥匙	20.0
212	2	12	1000	60206	1	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	经验翻倍2h	1.0	号角	10.0
213	2	13	1000	60102	10	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	黄金宝箱	2.0
214	2	14	1000	60101	15	1	60101	1	20	0	0	20	1	1	#	#	#	#	0	0	钥匙	15.0	钥匙	20.0
215	2	15	1000	60102	10	1	60317	1	1	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	铁锭Ⅰ	1.0
216	2	16	1000	60101	15	1	60101	1	20	0	2	20	1	1	#	#	#	#	0	0	钥匙	15.0	钥匙	20.0
217	2	17	1000	60205	1	1	60306	1	1	0	0	20	1	1	#	#	#	#	0	0	快速复活2h	1.0	火剑Ⅰ	1.0
218	2	18	1000	60102	10	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	号角	10.0
219	2	19	1000	60103	1	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	黄金宝箱	1.0	黄金宝箱	2.0
220	2	20	1000	60102	10	1	60311	1	1	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	成长Ⅰ	1.0
221	2	21	1000	60102	10	1	60306	1	1	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	火剑Ⅰ	1.0
222	2	22	1000	60206	1	1	60214	1	1	0	0	20	1	1	#	#	#	#	0	0	经验翻倍2h	1.0	生命值强化24h	1.0
223	2	23	1000	60102	10	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	黄金宝箱	2.0
224	2	24	1000	60101	15	1	60101	1	20	0	0	20	1	1	#	#	#	#	0	0	钥匙	15.0	钥匙	20.0
225	2	25	1000	60414	1	1	60416	1	1	1	0	20	2	3	#	#	g1008_pet_17.actor	taunt	1	1	能量箭	1.0	小恶魔	1.0
226	2	26	1000	60101	15	1	60101	1	20	0	1	20	1	1	#	#	#	#	0	0	钥匙	15.0	钥匙	20.0
227	2	27	1000	60201	1	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	道具特权2h	1.0	号角	10.0
228	2	28	1000	60102	10	1	60319	1	1	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	铁墓Ⅰ	1.0
229	2	29	1000	60103	1	1	60103	1	1	0	0	20	1	1	#	#	#	#	0	0	黄金宝箱	1.0	黄金宝箱	1.0
230	2	30	1000	60103	20	1	60104	1	2	1	0	20	1	1	#	#	#	#	0	1	黄金宝箱	20.0	钻石宝箱	2.0
231	2	31	1000	#	0	1	60101	1	25	0	2	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
232	2	32	1000	60101	20	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	钥匙	20.0	号角	10.0
233	2	33	1000	#	0	1	60207	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	道具特权6h	1.0
234	2	34	1000	60101	20	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	钥匙	20.0	钥匙	25.0
235	2	35	1000	60102	10	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	号角	10.0
236	2	36	1000	#	0	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
237	2	37	1000	60202	1	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	生命值强化2h	1.0	黄金宝箱	2.0
238	2	38	1000	#	0	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
239	2	39	1000	60101	20	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	钥匙	20.0	钥匙	25.0
240	2	40	1000	60218	1	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	经验翻倍24h	1.0	号角	10.0
241	2	41	1000	#	0	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
242	2	42	1000	60101	20	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	钥匙	20.0	号角	10.0
243	2	43	1000	#	0	1	60211	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	快速复活6h	1.0
244	2	44	1000	60103	1	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	黄金宝箱	1.0	黄金宝箱	2.0
245	2	45	1000	60104	2	1	60361	1	1	1	0	20	1	1	#	#	#	#	1	1	钻石宝箱	2.0	铁墓Ⅲ	1.0
246	2	46	1000	#	0	1	60101	1	25	0	1	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
247	2	47	1000	60205	1	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	快速复活2h	1.0	黄金宝箱	2.0
248	2	48	1000	#	0	1	60319	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	铁墓Ⅰ	1.0
249	2	49	1000	60101	20	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	钥匙	20.0	钥匙	25.0
250	2	50	1000	60102	10	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	号角	10.0	号角	10.0
251	2	51	1000	#	0	1	60101	1	25	0	2	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
252	2	52	1000	60101	20	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	钥匙	20.0	钥匙	25.0
253	2	53	1000	#	0	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	10.0
254	2	54	1000	60201	1	1	60218	1	1	0	0	20	1	1	#	#	#	#	0	0	道具特权2h	1.0	经验翻倍24h	1.0
255	2	55	1000	60102	20	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	号角	20.0	号角	10.0
256	2	56	1000	#	0	1	60101	1	25	0	2	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
257	2	57	1000	60102	20	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	号角	20.0	号角	10.0
258	2	58	1000	#	0	1	60101	1	25	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	25.0
259	2	59	1000	60103	1	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	黄金宝箱	1.0	黄金宝箱	2.0
260	2	60	1000	60415	1	1	60418	1	1	1	0	20	2	2	#	#	#	#	1	1	冰晶拖尾	1.0	星星刀光	1.0
261	2	61	1000	#	0	1	60311	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	成长Ⅰ	1.0
262	2	62	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
263	2	63	1000	#	0	1	60319	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	铁墓Ⅰ	1.0
264	2	64	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
265	2	65	1000	#	0	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	10.0
266	2	66	1000	#	0	1	60101	1	10	0	2	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
267	2	67	1000	#	0	1	60208	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	生命值强化6h	1.0
268	2	68	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
269	2	69	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
270	2	70	1000	#	0	1	60361	1	1	1	0	20	1	1	#	#	#	#	0	1	0	0.0	铁墓Ⅲ	1.0
271	2	71	1000	#	0	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	10.0
272	2	72	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
273	2	73	1000	#	0	1	60103	1	2	0	0	20	1	1	#	#	#	#	0	0	0	0.0	黄金宝箱	2.0
274	2	74	1000	#	0	1	60317	1	1	0	0	20	1	1	#	#	#	#	0	0	0	0.0	铁锭Ⅰ	1.0
275	2	75	1000	#	0	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	10.0
276	2	76	1000	#	0	1	60102	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	10.0
277	2	77	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
278	2	78	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
279	2	79	1000	#	0	1	60101	1	10	0	0	20	1	1	#	#	#	#	0	0	0	0.0	钥匙	10.0
280	2	80	1000	#	0	1	60419	1	1	1	0	20	1	2	#	#	#	#	0	1	0	0.0	火焰拖尾	1.0
281	2	81	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
282	2	82	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
283	2	83	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
284	2	84	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
285	2	85	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
286	2	86	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
287	2	87	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
288	2	88	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
289	2	89	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
290	2	90	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
291	2	91	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
292	2	92	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
293	2	93	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
294	2	94	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
295	2	95	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
296	2	96	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
297	2	97	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
298	2	98	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
299	2	99	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
300	2	100	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
301	2	101	1000	#	0	1	60102	1	5	0	2	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
302	2	102	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
303	2	103	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
304	2	104	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
305	2	105	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
306	2	106	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
307	2	107	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
308	2	108	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
309	2	109	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
310	2	110	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
311	2	111	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
312	2	112	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
313	2	113	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
314	2	114	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
315	2	115	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
316	2	116	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
317	2	117	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
318	2	118	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
319	2	119	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
320	2	120	1000	#	0	1	60102	1	20	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	20.0
321	2	121	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
322	2	122	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
323	2	123	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
324	2	124	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
325	2	125	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
326	2	126	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
327	2	127	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
328	2	128	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
329	2	129	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
330	2	130	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
331	2	131	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
332	2	132	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
333	2	133	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
334	2	134	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
335	2	135	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
336	2	136	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
337	2	137	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
338	2	138	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
339	2	139	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
340	2	140	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
341	2	141	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
342	2	142	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
343	2	143	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
344	2	144	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
345	2	145	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
346	2	146	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
347	2	147	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
348	2	148	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
349	2	149	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
350	2	150	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
351	2	151	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
352	2	152	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
353	2	153	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
354	2	154	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
355	2	155	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
356	2	156	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
357	2	157	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
358	2	158	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
359	2	159	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
360	2	160	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
361	2	161	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
362	2	162	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
363	2	163	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
364	2	164	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
365	2	165	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
366	2	166	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
367	2	167	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
368	2	168	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
369	2	169	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
370	2	170	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
371	2	171	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
372	2	172	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
373	2	173	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
374	2	174	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
375	2	175	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
376	2	176	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
377	2	177	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
378	2	178	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
379	2	179	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
380	2	180	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
381	2	181	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
382	2	182	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
383	2	183	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
384	2	184	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
385	2	185	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
386	2	186	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
387	2	187	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
388	2	188	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
389	2	189	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
390	2	190	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
391	2	191	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
392	2	192	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
393	2	193	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
394	2	194	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
395	2	195	1000	#	0	1	60102	1	10	1	0	20	1	1	#	#	#	#	0	1	0	0.0	号角	10.0
396	2	196	1000	#	0	1	60102	1	5	0	0	20	1	1	#	#	#	#	0	0	0	0.0	号角	5.0
