TipType	TipTemplateId	Notice	TipTemplateId.1	zh_CN	en_US	ru_RU	de_DE	es_ES	pt_BR	vi_VN	in_ID	pl_PL	tr_TR	fr_FR	ja_JP	ko_KR	it_IT	th_TH
枚举类型	模板说明	备注	模板说明	中文	英文	俄语	德语	西语	葡萄牙语	越南语	印尼语	波兰	土耳其	法语	日语	韩语	意大利语	泰语
1048001	GameName	游戏名称	GameName	空岛生存主岛	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock	SkyBlock
1048002	msgBlockPlaceTip	禁止放方块	msgBlockPlaceTip	▢FF00FF00此区域禁止放方块	▢FF00FF00Can't place block here	▢FF00FF00Не могу разместить блок здесь	▢FF00FF00Block kann hier nicht platziert werden	▢FF00FF00 No se puede colocar el bloque aquí	▢FF00FF00Não é possível colocar o bloco aqui	▢FF00FF00 Không thể đặt khối ở đây	▢FF00FF00Tidak dapat menempatkan blok di sini	▢FF00FF00Nie można tutaj umieścić bloku	▢FF00FF00Buraya blok yerleştiremiyorum	▢FF00FF00Impossible de placer le bloc ici	▢FF00FF00ここにブロックを配置できません	▢FF00FF00여기에 블록을 배치 할 수 없습니다	▢FF00FF00Non riesco a posizionare il blocco qui	▢FF00FF00ไม่สามารถวางบล็อกที่นี่
1048003	msgExtendAreaTip	扩建成功	msgExtendAreaTip	▢FFFFFFFF恭喜您，扩建成功！	▢FFFFFFFFCongratulations,expand successfully	▢FFFFFFFFПоздравляем, успешно расширяемся	▢FFFFFFFFHerzlichen Glückwunsch, erweitern Sie erfolgreich	▢FFFFFFFF Felicitaciones, expanda con éxito	▢FFFFFFFFCongratulações, expanda com sucesso	▢FFFFFFFF Chúc mừng, mở rộng thành công	▢FFFFFFFFSelamat, berhasil berkembang	▢FFFFFFFFGratulacje, pomyślnie się rozwijaj	▢FFFFFFFFTebrikler, başarıyla genişletin	▢FFFFFFFFFélicitations, développez avec succès	▢FFFFFFFFおめでとう、正常に拡張	▢FFFFFFFF축하합니다, 성공적으로 확장되었습니다	▢FFFFFFFFCongratulazioni, espandi con successo	▢FFFFFFFFขอแสดงความยินดีขยายสำเร็จ
1048004	msgNotEnoughMoneyTip	货币不足	msgNotEnoughMoneyTip	▢FF00FF00对不起，金钱不足！	▢FF00FF00Sorry,you don't have enough money	▢FF00FF00Извините, у вас недостаточно денег	▢FF00FF00Sorry, du hast nicht genug Geld	▢FF00FF00 Lo sentimos, no tienes suficiente dinero	▢FF00FF00Desculpe, você não tem dinheiro suficiente	▢FF00FF00 Xin lỗi, bạn không có đủ tiền	▢FF00FF00Maaf, Anda tidak punya cukup uang	▢FF00FF00Niestety nie masz wystarczającej ilości pieniędzy	▢FF00FF00Üzgünüm, yeterli paranız yok	▢FF00FF00Désolé, tu n'as pas assez d'argent	▢FF00FF00すみません、お金が足りません	▢FF00FF00죄송합니다. 돈이 충분하지 않습니다	▢FF00FF00Scusa, non hai abbastanza soldi	▢FF00FF00ขออภัยคุณไม่มีเงินเพียงพอ
1048005	msgIsUsingFurnace	熔炉正在使用中	msgIsUsingFurnace	▢FF00FF00熔炉正在使用中	▢FF00FF00Furnace is now being used	▢FF00FF00Печь сейчас используется	▢FF00FF00Furnace wird jetzt verwendet	▢FF00FF00 Furnace ahora se está utilizando	▢FF00FF00Furnace está sendo usado agora	▢FF00FF00 Furnace hiện đang được sử dụng	▢FF00FF00Tungku sekarang sedang digunakan	▢FF00FF00Obecnie używany jest piec	▢FF00FF00Fırın şimdi kullanılıyor	▢FF00FF00Le four est maintenant utilisé	▢FF00FF00炉は現在使用されています	▢FF00FF00용광로가 사용되고 있습니다	▢FF00FF00La fornace è ora in uso	▢FF00FF00ขณะนี้เตากำลังถูกใช้งาน
1048006	msgForbidSetHome	设家失败，请在安全区域操作	msgForbidSetHome	▢FFFF0000设家失败，请在安全区域操作	▢FFFF0000Setting up a home failed, please operate in the safe area	▢FFFF0000Установка дома не удалась, пожалуйста, работайте в безопасном месте	▢FFFF0000Einrichtung eines Hauses fehlgeschlagen, bitte im sicheren Bereich betreiben	▢FFFF0000 Fallo en la configuración de una casa, por favor opere en el área segura	▢FFFF0000Setting up a home failed, por favor opere na área segura	▢FFFF0000 Đặt nhà không thành công, vui lòng vận hành trong khu vực an toàn	▢FFFF0000Menyiapkan rumah gagal, operasikan di area aman	▢FFFF0000Konfiguracja domu nie powiodła się, proszę działać w bezpiecznym obszarze	▢FFFF0000Ev kurma başarısız oldu, lütfen güvenli bir alanda çalışın	▢FFFF0000La configuration de la maison a échoué, veuillez opérer dans la zone de sécurité	▢FFFF0000家のセットアップに失敗しました。安全な場所で操作してください	▢FFFF0000집을 세우지 못했습니다. 안전 지역에서 작동하십시오	▢FFFF0000Installazione di una casa fallita, si prega di operare nell'area sicura	▢FFFF0000การตั้งค่าบ้านล้มเหลวโปรดดำเนินการในพื้นที่ปลอดภัย
1048007	msgCannotBackHome	回家失败，请在安全区域操作	msgCannotBackHome	▢FFFF0000回家失败，请在安全区域操作	▢FFFF0000Failed to go home, please operate in safe area	▢FFFF0000Не удалось вернуться домой, пожалуйста, действуйте в безопасном месте	▢FFFF0000Kann nicht nach Hause gehen, bitte in einem sicheren Bereich arbeiten	▢FFFF0000 No se pudo volver a casa, por favor opere en un área segura	▢FFFF0000Failed para ir para casa, por favor opere em uma área segura	▢FFFF0000 Không thể về nhà, vui lòng hoạt động trong khu vực an toàn	▢FFFF0000Gagal pulang, operasikan di tempat yang aman	▢FFFF0000Nie udało się wrócić do domu, proszę działać w bezpiecznym miejscu	▢FFFF0000Eve gidemedi, lütfen güvenli bir alanda çalışın	▢FFFF0000Échec de rentrer à la maison, veuillez travailler dans une zone sûre	▢FFFF0000帰宅できませんでした。安全な場所で操作してください	▢FFFF0000집에 가지 못했습니다. 안전한 지역에서 작동하십시오	▢FFFF0000Impossibile andare a casa, si prega di operare in un'area sicura	▢FFFF0000ไม่สามารถกลับบ้านได้โปรดดำเนินการในพื้นที่ปลอดภัย
1048008	msgCannotOperatorVistor	访问者不能操作	msgCannotOperatorVistor	▢FFFF0000访问者不能操作	▢FFFF0000Visitors don't have permission to do this	▢FFFF0000Посетители не имеют разрешения на это	▢FFFF0000Besucher haben keine Berechtigung dazu	▢FFFF0000 Los visitantes no tienen permiso para hacer esto	▢FFFF0000Os visitantes não têm permissão para fazer isso	▢FFFF0000 Visitor không được phép làm điều này	▢FFFF0000Pengunjung tidak memiliki izin untuk melakukan ini	▢FFFF0000Odwiedzający nie mają na to pozwolenia	▢FFFF0000Ziyaretçiler bunu yapma iznine sahip değil	▢FFFF0000Les visiteurs n'ont pas la permission de le faire	▢FFFF0000訪問者にはこれを行う権限がありません	▢FFFF0000방문자는이 작업을 수행 할 권한이 없습니다	▢FFFF0000I visitatori non hanno il permesso di farlo	▢FFFF0000ผู้เข้าชมไม่ได้รับอนุญาตให้ทำเช่นนี้
1048009	msgUIButtonCountDown	距离下一次可操作还剩%1s秒	msgUIButtonCountDown	▢FFFF0000距离下一次可操作还剩▢FF00FF00%1s▢FFFF0000秒	▢FFFF0000Need to wait %1s seconds to do the next operation	▢FFFF0000Нужно подождать %1s секунд, чтобы сделать следующую операцию	▢FFFF0000Warten Sie %1s Sekunden, um den nächsten Vorgang auszuführen	▢FFFF0000 Necesita esperar %1s segundos para hacer la próxima operación	▢FFFF0000Precisa esperar %1s segundos para fazer a próxima operação	▢FFFF0000 Cần đợi %1s giây giây  để thực hiện thao tác tiếp theo	▢FFFF0000Perlu menunggu %1s detik untuk melakukan operasi selanjutnya	▢FFFF0000Potrzeba czekania %1s sekund, aby wykonać następną operację	▢FFFF0000Beklemeniz gerek %1s sonraki işlemi yapmak için saniyeler	▢FFFF0000Besoin d'attendre %1s secondes pour faire la prochaine opération	▢FFFF0000待つ必要があります %1s 次の操作を行う秒	▢FFFF0000기다릴 필요가있다 %1s 다음 작업을 수행하는 초	▢FFFF0000Ho bisogno di aspettare %1s secondi per eseguire l'operazione successiva	▢FFFF0000ต้องรอ %1s วินาทีในการดำเนินการต่อไป
1048010	msgSetHomeSuccess	设家成功	msgSetHomeSuccess	▢FFFF0000设家成功	▢FFFF0000Setting up strart point successfully	▢FFFF0000Настройка начальной точки успешно	▢FFFF0000Setzen des Startpunkts erfolgreich	▢FFFF0000 Configurar punto de inicio correctamente	▢FFFF0000Setting up strart point com sucesso	▢FFFF0000 Cài đặt điểm khởi đầu thành công	▢FFFF0000Menyiapkan titik awal dengan sukses	▢FFFF0000Pomyślnie skonfigurowano punkt początkowy	▢FFFF0000Başlama noktasını başarıyla ayarlama	▢FFFF0000Configuration du point de départ avec succès	▢FFFF0000開始点を正常に設定しました	▢FFFF0000시작점 설정 성공	▢FFFF0000Impostazione del punto iniziale corretta	▢FFFF0000การตั้งค่าจุดเริ่มต้นสำเร็จ
1048011	msgBackHomeSuccess	回家成功	msgBackHomeSuccess	▢FFFF0000回家成功	▢FFFF0000You have already returned home	▢FFFF0000Вы уже вернулись домой	▢FFFF0000Sie sind bereits nach Hause zurückgekehrt	▢FFFF0000 Ya has regresado a casa	▢FFFF0000Você já voltou para casa	▢FFFF0000 Bạn đã trở về nhà	▢FFFF0000Anda sudah kembali ke rumah	▢FFFF0000Wróciłeś już do domu	▢FFFF0000Çoktan eve döndün	▢FFFF0000Vous êtes déjà rentré chez vous	▢FFFF0000あなたはすでに家に帰りました	▢FFFF0000이미 집으로 돌아 왔습니다	▢FFFF0000Sei già tornato a casa	▢FFFF0000คุณกลับถึงบ้านแล้ว
1048012	msgSetHomeFailed	浮空岛禁止设家	msgSetHomeFailed	▢FFFF0000你必须回家才能使用这个功能！	▢FFFF0000You must go home to use this feature!	▢FFFF0000Необходимо вернуться домой для использования этой функции!	▢FFFF0000Sie müssen nach Hause gehen, um diese Funktion zu nutzen!	▢FFFF0000¡Debes ir a casa para usar esta función!	▢FFFF0000Você deve ir para casa para usar esse recurso!	▢FFFF0000Bạn phải về nhà để sử dụng tính năng này!	▢FFFF0000Anda harus pulang untuk menggunakan fitur ini!	▢FFFF0000Musisz skorzystać z tej funkcji w domu!	▢FFFF0000Bu özelliği kullanmak için eve gitmelisin!	▢FFFF0000Vous devez rentrer à la maison pour utiliser cette fonctionnalité!	▢FFFF0000この機能を使用するには家に帰らなければなりません！	▢FFFF0000이 기능을 사용하려면 집에 가야합니다!	▢FFFF0000Devi andare a casa per usare questa funzione!	▢FFFF0000คุณต้องกลับบ้านเพื่อใช้คุณสมบัตินี้!
1048013	msgBoxLimit	箱子数量限制	msgBoxLimit	▢FFFF0000箱子数量已达上限！	▢FFFF0000The number of chests has reached the upper limit!	▢FFFF0000Количество ящиков достигло верхнего предела!	▢FFFF0000Die Anzahl der Truhen hat die Obergrenze erreicht!	▢FFFF0000¡El número de cofres ha alcanzado el límite superior!	▢FFFF0000O número de baús atingiu o limite superior!	▢FFFF0000Số lượng rương đã đạt đến giới hạn trên!	▢FFFF0000Jumlah peti telah mencapai batas atas!	▢FFFF0000Liczba skrzyń osiągnęła górny limit!	▢FFFF0000Sandık sayısı üst sınıra ulaştı!	▢FFFF0000Le nombre de coffres a atteint la limite supérieure!	▢FFFF0000チェストの数が上限に達しました！	▢FFFF0000상자 개수가 상한에 도달했습니다!	▢FFFF0000Il numero di forzieri ha raggiunto il limite superiore!	▢FFFF0000จำนวนหีบได้ถึงขีด จำกัด สูงสุดแล้ว!
1048014	msgFurnaceLimit	熔炉数量限制	msgFurnaceLimit	▢FFFF0000熔炉数量已达上限！	▢FFFF0000The number of furnaces has reached the upper limit!	▢FFFF0000Количество печей достигло верхнего предела!	▢FFFF0000Die Anzahl der Öfen hat die Obergrenze erreicht!	▢FFFF0000¡El número de hornos ha alcanzado el límite superior!	▢FFFF0000O número de fornos atingiu o limite superior!	▢FFFF0000Số lượng lò đã đạt đến giới hạn trên!	▢FFFF0000Jumlah tungku telah mencapai batas atas!	▢FFFF0000Liczba pieców osiągnęła górny limit!	▢FFFF0000Fırın sayısı üst sınıra ulaştı!	▢FFFF0000Le nombre de fours a atteint la limite supérieure!	▢FFFF0000炉の数が上限に達しました！	▢FFFF0000용광로 수가 상한에 도달했습니다!	▢FFFF0000Il numero di forni ha raggiunto il limite superiore!	▢FFFF0000จำนวนเตาเผาถึงขีด จำกัด สูงสุดแล้ว!
1048015	msgSignPostTextLimit	留言板可编辑数量限制	msgSignPostTextLimit	▢FFFF0000最多可编辑▢FF00FF00%1s▢FFFF0000个留言板	▢FFFF0000 can edit up to ▢FF00FF00%1s▢FFFF0000 message boards 			▢FFFF0000pode editar até▢FF00FF00%1s▢FFFF0000 quadros de mensagens 	▢FFFF0000có thể chỉnh sửa lên đến ▢FF00FF00%1s▢FFFF0000 bảng tin 	▢FFFF0000 может редактировать до FF00FF00% 1s▢FFFF0000 досок отзывов								
1048016	msgTransmitting	传送中，请等待!	msgTransmitting	▢FFFF0000传送中，请等待!	▢FFFF0000 is being teleported, please wait!			▢FFFF0000 está sendo teleportado, aguarde!	▢FFFF0000 đang được dịch chuyển tức thời, xin vui lòng chờ!	▢FFFF0000 телепортируется, подождите, пожалуйста.								
1048017	msgGoToParty	岛主开启了派对，传送中...	msgGoToParty	▢FFFF0000岛主开启了派对，传送中…	▢FFFF0000 Island owner started a party, teleporting...			▢FFFF0000 O dono da ilha começou uma festa, teletransportando ...	▢FFFF0000 Chủ đảo bắt đầu một bữa tiệc, dịch chuyển tức thời ...									
1048018	msgEnlargeBlockPlaceTip	提示扩大岛屿	msgEnlargeBlockPlaceTip	▢FF00FF00请先扩大你的领地范围！	▢FF00FF00 Please expand your territory first!			▢FF00FF00 Por favor, expanda seu território primeiro!	▢FF00FF00 Hãy mở rộng lãnh thổ của bạn trước!									
1048019	msgNotEnlargeBlockPlaceTip	提示已经到达最大范围	msgNotEnlargeBlockPlaceTip	▢FF00FF00已到达最大边界！	▢FF00FF00 has reached the maximum territory!			▢FF00FF00 atingiu o território máximo!	▢FF00FF00 đã đạt đến lãnh thổ tối đa!									
1048020	msgActorTextLimit	最多可放置 个装饰物 	msgActorTextLimit	▢FFFF0000最多可放置▢FF00FF00%1s▢FFFF0000个装饰物	▢FFFF0000You can place up to ▢FF00FF00%1s▢FFFF0000 decorations	▢FFFF0000Вы можете разместить до ▢FF00FF00%1s▢FFFF0000 украшений	▢FFFF0000Sie können bis zu ▢FF00FF00%1s▢FFFF0000 Dekorationen platzieren	▢FFFF0000 Puede colocar hasta ▢FF00FF00%1s▢FFFF0000 decoraciones	▢FFFF0000 Coloque até ▢FF00FF00%1s▢FFFF0000 decorações	▢FFFF0000Tối đa có thể đặt▢FF00FF00%1s▢FFFF0000đồ trang sức	▢FFFF0000Anda dapat menempatkan hingga ▢FF00FF00%1s▢FFFF0000 dekorasi	▢FFFF0000Możesz umieścić do ▢FF00FF00%1s▢FFFF0000 dekoracji	▢FFFF0000 en fazla ▢FF00FF00%1s▢FFFF0000 dekorasyon yerleştirebilir	▢FFFF0000Vous pouvez placer jusqu'à ▢FF00FF00%1s▢FFFF0000 décorations	▢FFFF0000最大00FF00FF00％1s▢FFFF0000の装飾を配置できます	▢FFFF0000최대 한도는 ▢FF00FF00%1s▢FFFF0000개 장식품 넣을 수 있다	▢FFFF0000È possibile posizionare fino a ▢FF00FF00%1s▢FFFF0000 decorazioni	▢FFFF0000คุณสามารถวางได้สูงสุด▢FF00FF00%1s▢FFFF0000การตกแต่ง
